main,id,temp,pressure,humidity,temp_min,temp_max,wind_speed,clouds,sunset,sunrise,clothing_advice
Clear,857,7.8,1031.7,67.5,6.0,10.2,7.1,0.8,1704127188,1704098353,medium_coat_scarf
Clouds,853,12.4,1016.5,47.2,11.0,15.4,20.8,72.6,1704126234,1704089523,windproof_jacket
Clouds,823,27.5,992.4,77.7,26.7,28.7,4.0,55.1,1704131938,1704091045,tshirt_shorts
Clouds,817,13.1,1007.7,52.4,10.2,15.6,14.6,69.3,1704129708,1704090543,windproof_jacket
Clouds,846,15.8,1018.3,43.8,14.8,17.1,12.3,87.3,1704141117,1704090622,windproof_jacket
Snow,691,8.6,1026.8,59.7,6.7,10.2,4.0,42.7,1704128199,1704091417,medium_coat_scarf
Clear,885,37.0,1001.8,67.7,35.8,38.3,5.4,28.1,1704138575,1704096368,hot_summer
Rain,578,21.5,1009.4,86.3,20.4,23.9,9.7,78.6,1704136314,1704095808,light_rain_jacket
Snow,636,6.6,1033.2,77.8,4.8,8.5,7.5,7.0,1704126903,1704096241,medium_coat_scarf
Clear,870,38.0,993.9,69.0,35.2,39.6,1.1,26.1,1704125509,1704089346,hot_summer
Clear,851,15.9,990.6,60.6,13.6,16.9,5.8,21.7,1704126186,1704090511,light_jacket_jeans
Snow,628,-1.8,994.8,49.9,-4.4,-0.1,2.2,64.5,1704136277,1704090891,warm_winter_coat
Rain,558,27.5,1005.3,82.1,26.9,28.4,3.4,87.7,1704132276,1704098473,light_rain_jacket
Rain,510,18.1,1033.4,70.9,15.1,20.6,4.0,16.9,1704138261,1704093726,light_rain_jacket
Rain,533,18.5,1000.7,99.8,18.0,20.9,9.6,24.0,1704135719,1704091321,raincoat_umbrella
Clear,830,6.2,991.0,52.8,5.4,7.4,1.1,5.9,1704138379,1704092449,medium_coat_scarf
Clear,842,28.5,1005.2,44.7,25.7,30.8,7.8,15.1,1704139160,1704095086,hot_summer
Clear,845,-10.5,1013.8,62.4,-11.4,-8.7,6.6,22.1,1704131578,1704094274,extreme_cold_gear
Clear,808,-3.2,1038.5,48.2,-5.5,-2.7,11.9,8.5,1704136032,1704095990,warm_winter_coat
Drizzle,303,-2.2,1016.9,77.2,-4.0,0.1,10.9,85.4,1704142511,1704093525,winter_wet_gear
Clear,843,-11.9,994.4,68.9,-14.7,-10.2,14.5,29.6,1704134005,1704089174,extreme_cold_gear
Drizzle,319,17.9,1016.3,82.8,16.1,19.0,9.8,24.3,1704131765,1704097526,light_jacket_jeans
Clouds,819,9.6,1000.4,43.7,6.8,11.2,22.9,43.2,1704141683,1704088837,windproof_jacket
Snow,695,-27.7,1009.0,77.3,-28.8,-26.0,10.6,36.3,1704125810,1704094051,extreme_cold_gear
Clouds,808,17.5,1033.0,43.2,16.0,19.7,17.3,38.6,1704125212,1704095988,windproof_jacket
Snow,619,-18.3,997.6,33.5,-19.1,-17.3,14.8,11.4,1704133294,1704095589,extreme_cold_gear
Clear,800,25.3,981.1,60.6,23.0,26.1,5.7,21.3,1704135030,1704094958,tshirt_shorts
Snow,671,-0.8,1002.5,97.7,-3.5,2.0,12.8,36.7,1704138428,1704097423,winter_wet_gear
Clear,846,7.2,1039.6,74.7,4.7,8.6,4.6,11.0,1704130860,1704091159,medium_coat_scarf
Snow,691,-6.2,996.2,79.0,-7.6,-4.5,8.6,42.7,1704136093,1704094184,winter_wet_gear
Clear,801,38.0,1026.3,43.3,37.2,40.7,5.5,19.6,1704129884,1704094622,hot_summer
Clear,897,10.5,1024.8,71.3,8.6,11.0,5.7,24.2,1704138279,1704095672,light_jacket_jeans
Clouds,838,10.3,1010.3,47.9,8.2,12.1,15.3,39.1,1704139380,1704090780,windproof_jacket
Clouds,868,10.4,993.0,60.5,8.8,11.2,19.8,88.4,1704134517,1704091100,windproof_jacket
Snow,611,-8.7,1009.6,97.6,-9.8,-5.9,9.7,52.1,1704127644,1704091113,winter_wet_gear
Rain,570,14.5,1038.3,99.6,13.9,15.1,7.1,14.6,1704126294,1704093820,raincoat_umbrella
Drizzle,311,27.5,986.1,75.5,26.3,29.8,3.6,45.3,1704137773,1704092121,light_rain_jacket
Clear,843,33.2,1033.6,61.0,31.2,35.3,4.8,13.3,1704137447,1704095190,hot_summer
Rain,561,15.7,1004.5,88.5,14.4,18.0,7.6,43.3,1704142214,1704090154,raincoat_umbrella
Clear,824,1.3,991.3,71.1,-1.6,2.1,3.3,22.8,1704128746,1704090570,medium_coat_scarf
Drizzle,330,25.4,1009.8,74.7,23.2,26.2,2.4,34.7,1704132073,1704090232,light_rain_jacket
Clear,800,36.4,989.4,46.4,34.5,38.6,1.4,7.5,1704129838,1704095930,hot_summer
Snow,617,-4.4,983.7,76.1,-7.2,-1.5,14.2,39.1,1704133591,1704093825,winter_wet_gear
Clouds,810,24.2,1009.0,40.7,21.6,26.3,0.3,29.8,1704132142,1704093702,tshirt_shorts
Clear,805,-14.0,991.3,30.5,-16.7,-11.8,18.3,8.5,1704126381,1704092816,extreme_cold_gear
Clear,854,38.3,984.2,56.3,37.7,40.2,1.3,19.3,1704135158,1704098954,hot_summer
Clouds,833,8.5,1007.0,64.0,6.2,9.3,18.8,11.2,1704127075,1704090877,windproof_jacket
Rain,560,11.0,1016.4,95.9,9.5,11.5,14.7,14.5,1704139588,1704095309,raincoat_umbrella
Clouds,820,25.8,1001.9,77.4,23.8,28.1,3.2,4.5,1704127496,1704097154,tshirt_shorts
Clear,889,14.5,992.8,51.3,12.5,16.9,4.6,26.0,1704136392,1704099133,light_jacket_jeans
Rain,554,15.4,999.0,88.0,13.8,17.5,5.3,9.2,1704136150,1704090080,raincoat_umbrella
Drizzle,392,-2.6,1026.5,81.2,-3.4,-2.0,5.1,38.8,1704132264,1704093270,winter_wet_gear
Clouds,864,10.7,1031.4,60.8,8.8,12.0,20.7,87.9,1704131266,1704094519,windproof_jacket
Drizzle,318,-8.6,1014.2,97.9,-10.5,-7.1,12.0,53.2,1704141162,1704097474,winter_wet_gear
Rain,579,18.2,1029.5,77.0,15.9,19.4,9.6,98.6,1704137503,1704096355,raincoat_umbrella
Clear,848,-6.0,1024.9,66.4,-8.8,-3.6,8.9,22.3,1704135126,1704098038,warm_winter_coat
Rain,590,13.1,989.9,92.7,10.9,13.7,11.8,75.0,1704136432,1704089435,raincoat_umbrella
Clear,856,-17.1,998.6,71.2,-18.0,-16.5,6.9,17.6,1704127649,1704091436,extreme_cold_gear
Clear,826,18.1,1027.2,62.4,16.6,19.4,11.0,2.2,1704132185,1704097279,light_jacket_jeans
Clouds,821,16.3,1021.4,64.6,14.5,19.2,6.0,74.0,1704132223,1704099121,light_jacket_jeans
Clouds,895,29.6,1028.6,47.7,27.9,31.9,8.8,96.8,1704128118,1704092803,tshirt_shorts
Snow,674,-1.7,1037.4,50.5,-3.8,0.5,7.4,28.0,1704133625,1704093688,warm_winter_coat
Snow,662,8.5,994.9,65.9,7.5,11.2,2.6,12.6,1704126798,1704093985,medium_coat_scarf
Clear,887,32.7,1023.1,41.5,30.8,34.4,2.8,8.9,1704141662,1704095967,hot_summer
Clear,834,21.0,985.6,63.5,20.5,23.0,7.8,5.2,1704136871,1704098376,tshirt_shorts
Snow,606,-2.0,1006.4,87.3,-3.1,-0.5,2.9,39.8,1704132883,1704090834,winter_wet_gear
Drizzle,373,14.6,1017.8,73.7,12.4,15.6,7.4,59.7,1704132719,1704091702,light_jacket_jeans
